# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
144.5         	GAMG	5.158740e-01	1.784990e-03	2	true
145           	GAMG	5.241280e-01	1.875100e-03	2	true
145.5         	GAMG	5.261950e-01	1.761520e-03	2	true
146           	GAMG	5.408270e-01	1.843420e-03	2	true
146.5         	GAMG	5.242410e-01	1.803770e-03	2	true
147           	GAMG	4.474770e-01	1.425430e-03	2	true
147.5         	GAMG	5.525870e-01	2.007870e-03	2	true
148           	GAMG	5.232680e-01	1.722660e-03	2	true
148.5         	GAMG	5.059620e-01	1.800130e-03	2	true
149           	GAMG	5.219870e-01	1.629220e-03	2	true
149.5         	GAMG	5.654000e-01	1.873550e-03	2	true
150           	GAMG	5.582400e-01	1.568950e-03	2	true
150.5         	GAMG	5.775820e-01	1.765840e-03	2	true
151           	GAMG	5.373610e-01	1.928710e-03	2	true
151.5         	GAMG	3.166560e-01	9.786360e-04	2	true
152           	GAMG	5.378650e-01	2.213010e-03	2	true
152.5         	GAMG	5.519430e-01	1.956540e-03	2	true
153           	GAMG	5.448300e-01	1.917800e-03	2	true
153.5         	GAMG	5.144180e-01	1.763170e-03	2	true
154           	GAMG	5.519270e-01	1.799780e-03	2	true
154.5         	GAMG	5.326690e-01	1.552530e-03	2	true
155           	GAMG	4.859590e-01	2.054960e-03	2	true
155.5         	GAMG	5.133610e-01	1.156840e-03	2	true
156           	GAMG	5.139970e-01	1.882320e-03	2	true
156.5         	GAMG	5.637730e-01	1.529770e-03	2	true
157           	GAMG	5.183580e-01	2.104820e-03	2	true
157.5         	GAMG	5.706550e-01	2.018150e-03	2	true
158           	GAMG	5.483150e-01	1.862420e-03	2	true
158.5         	GAMG	5.594220e-01	1.722250e-03	2	true
159           	GAMG	5.568800e-01	1.969240e-03	2	true
159.5         	GAMG	5.550740e-01	1.937800e-03	2	true
160           	GAMG	5.547910e-01	2.326840e-03	2	true
160.5         	GAMG	5.373170e-01	2.219850e-03	2	true
161           	GAMG	5.068520e-01	2.523530e-03	2	true
161.5         	GAMG	5.307770e-01	2.177000e-03	2	true
162           	GAMG	5.112180e-01	1.453690e-03	2	true
162.5         	GAMG	5.316670e-01	1.903490e-03	2	true
163           	GAMG	5.594500e-01	1.638910e-03	2	true
163.5         	GAMG	5.369040e-01	2.225520e-03	2	true
164           	GAMG	5.498340e-01	1.312660e-03	2	true
164.5         	GAMG	5.831020e-01	1.710660e-03	2	true
165           	GAMG	5.422240e-01	2.913440e-03	2	true
165.5         	GAMG	5.714210e-01	2.820830e-03	2	true
166           	GAMG	5.753980e-01	2.496340e-03	2	true
166.5         	GAMG	5.349760e-01	2.997240e-03	2	true
167           	GAMG	5.669170e-01	2.521640e-03	2	true
167.5         	GAMG	5.388550e-01	2.261800e-03	2	true
168           	GAMG	5.458910e-01	2.210570e-03	2	true
168.5         	GAMG	5.263790e-01	2.500080e-03	2	true
169           	GAMG	5.118240e-01	1.822400e-03	2	true
169.5         	GAMG	5.301270e-01	1.754080e-03	2	true
170           	GAMG	4.834260e-01	1.586170e-03	2	true
170.5         	GAMG	4.973990e-01	1.911110e-03	2	true
171           	GAMG	5.109720e-01	2.283610e-03	2	true
171.5         	GAMG	5.363270e-01	2.194930e-03	2	true
172           	GAMG	5.304810e-01	2.194780e-03	2	true
172.5         	GAMG	5.286270e-01	2.693530e-03	2	true
173           	GAMG	5.077620e-01	2.667080e-03	2	true
173.5         	GAMG	4.884910e-01	1.936420e-03	2	true
174           	GAMG	5.459260e-01	2.242230e-03	2	true
174.5         	GAMG	5.945860e-01	2.615920e-03	2	true
175           	GAMG	5.779860e-01	2.896590e-03	2	true
175.5         	GAMG	6.030890e-01	3.119320e-03	2	true
176           	GAMG	5.955100e-01	2.393470e-03	2	true
176.5         	GAMG	5.924520e-01	2.607430e-03	2	true
177           	GAMG	5.650810e-01	3.531360e-03	2	true
177.5         	GAMG	5.493010e-01	3.056000e-03	2	true
178           	GAMG	5.709960e-01	2.305540e-03	2	true
178.5         	GAMG	5.415370e-01	2.446110e-03	2	true
179           	GAMG	5.449920e-01	2.547340e-03	2	true
179.5         	GAMG	5.668910e-01	2.577590e-03	2	true
180           	GAMG	5.742250e-01	1.981570e-03	2	true
180.5         	GAMG	5.198510e-01	2.399930e-03	2	true
181           	GAMG	5.439640e-01	2.123860e-03	2	true
181.5         	GAMG	5.680050e-01	1.970000e-03	2	true
182           	GAMG	5.835700e-01	3.103280e-03	2	true
182.5         	GAMG	6.151640e-01	3.138300e-03	2	true
183           	GAMG	5.711880e-01	2.842670e-03	2	true
183.5         	GAMG	5.783960e-01	2.964850e-03	2	true
184           	GAMG	5.731560e-01	3.650980e-03	2	true
184.5         	GAMG	5.854860e-01	2.453560e-03	2	true
185           	GAMG	5.443490e-01	3.495030e-03	2	true
185.5         	GAMG	5.551330e-01	3.210610e-03	2	true
186           	GAMG	5.951910e-01	4.557230e-03	2	true
186.5         	GAMG	5.987650e-01	2.839400e-03	2	true
187           	GAMG	5.820820e-01	2.766720e-03	2	true
187.5         	GAMG	5.404560e-01	2.879140e-03	2	true
188           	GAMG	6.213410e-01	3.293790e-03	2	true
188.5         	GAMG	5.956050e-01	2.018310e-03	2	true
189           	GAMG	5.284130e-01	2.714360e-03	2	true
189.5         	GAMG	5.594610e-01	2.534650e-03	2	true
190           	GAMG	5.164760e-01	1.900470e-03	2	true
190.5         	GAMG	5.433140e-01	1.973010e-03	2	true
191           	GAMG	5.308760e-01	2.099520e-03	2	true
191.5         	GAMG	5.709410e-01	2.796490e-03	2	true
192           	GAMG	5.137670e-01	2.721260e-03	2	true
192.5         	GAMG	5.366610e-01	2.153390e-03	2	true
193           	GAMG	5.669440e-01	1.823170e-03	2	true
193.5         	GAMG	5.475880e-01	2.133740e-03	2	true
194           	GAMG	5.568770e-01	2.332280e-03	2	true
194.5         	GAMG	5.421980e-01	2.536340e-03	2	true
195           	GAMG	5.593560e-01	2.204240e-03	2	true
195.5         	GAMG	5.603320e-01	2.384720e-03	2	true
196           	GAMG	5.860940e-01	1.770110e-03	2	true
196.5         	GAMG	5.928960e-01	1.992410e-03	2	true
197           	GAMG	5.878960e-01	2.093530e-03	2	true
197.5         	GAMG	5.503470e-01	2.219610e-03	2	true
198           	GAMG	5.622310e-01	1.860010e-03	2	true
198.5         	GAMG	5.357520e-01	2.220480e-03	2	true
199           	GAMG	5.606440e-01	2.208760e-03	2	true
199.5         	GAMG	5.466570e-01	2.368040e-03	2	true
200           	GAMG	5.424120e-01	2.404500e-03	2	true
200.5         	GAMG	5.279760e-01	2.514280e-03	2	true
201           	GAMG	5.516840e-01	2.602120e-03	2	true
201.5         	GAMG	5.303200e-01	2.106700e-03	2	true
202           	GAMG	5.801290e-01	3.000570e-03	2	true
202.5         	GAMG	5.527830e-01	2.334390e-03	2	true
203           	GAMG	5.637790e-01	2.255590e-03	2	true
203.5         	GAMG	5.606990e-01	1.856170e-03	2	true
204           	GAMG	5.298140e-01	2.333480e-03	2	true
204.5         	GAMG	5.370800e-01	2.234700e-03	2	true
205           	GAMG	5.403920e-01	2.129900e-03	2	true
205.5         	GAMG	5.618350e-01	2.184690e-03	2	true
206           	GAMG	5.364170e-01	2.482700e-03	2	true
206.5         	GAMG	5.320040e-01	2.542600e-03	2	true
207           	GAMG	5.587450e-01	2.403050e-03	2	true
207.5         	GAMG	5.314140e-01	2.746230e-03	2	true
208           	GAMG	5.491300e-01	1.917010e-03	2	true
208.5         	GAMG	5.472310e-01	2.347100e-03	2	true
209           	GAMG	5.180610e-01	2.000520e-03	2	true
209.5         	GAMG	5.399050e-01	2.209480e-03	2	true
210           	GAMG	5.450160e-01	2.383980e-03	2	true
210.5         	GAMG	5.749080e-01	2.324390e-03	2	true
211           	GAMG	5.886940e-01	2.749630e-03	2	true
211.5         	GAMG	5.673290e-01	1.944510e-03	2	true
212           	GAMG	5.738540e-01	3.071270e-03	2	true
212.5         	GAMG	5.784750e-01	2.618340e-03	2	true
213           	GAMG	6.076950e-01	2.739670e-03	2	true
213.5         	GAMG	5.569590e-01	3.235760e-03	2	true
214           	GAMG	5.136570e-01	2.715800e-03	2	true
214.5         	GAMG	5.387040e-01	3.476040e-03	2	true
215           	GAMG	5.896880e-01	2.569540e-03	2	true
215.5         	GAMG	5.800410e-01	2.682920e-03	2	true
216           	GAMG	5.262450e-01	2.662090e-03	2	true
216.5         	GAMG	5.189190e-01	2.614510e-03	2	true
217           	GAMG	5.785080e-01	2.539270e-03	2	true
217.5         	GAMG	5.720490e-01	2.116540e-03	2	true
218           	GAMG	5.459530e-01	1.988330e-03	2	true
218.5         	GAMG	5.573520e-01	2.621790e-03	2	true
219           	GAMG	5.577700e-01	1.794590e-03	2	true
219.5         	GAMG	5.312930e-01	1.947080e-03	2	true
220           	GAMG	5.790920e-01	2.489670e-03	2	true
220.5         	GAMG	5.365290e-01	2.872670e-03	2	true
221           	GAMG	5.756850e-01	2.494310e-03	2	true
221.5         	GAMG	5.342430e-01	2.579430e-03	2	true
222           	GAMG	5.716890e-01	2.347620e-03	2	true
222.5         	GAMG	6.032120e-01	2.510770e-03	2	true
223           	GAMG	5.743490e-01	2.578940e-03	2	true
223.5         	GAMG	6.141940e-01	3.194580e-03	2	true
224           	GAMG	6.091560e-01	2.920210e-03	2	true
224.5         	GAMG	5.925790e-01	3.273470e-03	2	true
225           	GAMG	5.780280e-01	2.746450e-03	2	true
225.5         	GAMG	5.739070e-01	3.047570e-03	2	true
226           	GAMG	5.882870e-01	2.605030e-03	2	true
226.5         	GAMG	5.781040e-01	2.902950e-03	2	true
227           	GAMG	5.645480e-01	2.111820e-03	2	true
227.5         	GAMG	6.015260e-01	2.518230e-03	2	true
228           	GAMG	6.067450e-01	2.321220e-03	2	true
228.5         	GAMG	5.698130e-01	2.725750e-03	2	true
229           	GAMG	5.908060e-01	3.153310e-03	2	true
229.5         	GAMG	5.508790e-01	2.929460e-03	2	true
230           	GAMG	5.363310e-01	2.682820e-03	2	true
230.5         	GAMG	5.297030e-01	2.230810e-03	2	true
231           	GAMG	5.263950e-01	3.240950e-03	2	true
231.5         	GAMG	5.676400e-01	2.574780e-03	2	true
232           	GAMG	5.827320e-01	2.716950e-03	2	true
232.5         	GAMG	5.347480e-01	3.192130e-03	2	true
233           	GAMG	5.610590e-01	2.649240e-03	2	true
233.5         	GAMG	5.270320e-01	3.064500e-03	2	true
234           	GAMG	5.336260e-01	2.009430e-03	2	true
234.5         	GAMG	5.739070e-01	2.563600e-03	2	true
235           	GAMG	5.905000e-01	2.119710e-03	2	true
235.5         	GAMG	5.875510e-01	2.944420e-03	2	true
236           	GAMG	5.910840e-01	2.793180e-03	2	true
236.5         	GAMG	5.374530e-01	2.560670e-03	2	true
237           	GAMG	5.204990e-01	2.522730e-03	2	true
