# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
189           	GAMG	6.207190e-03	1.517890e-05	3	true
190           	GAMG	6.171410e-03	1.511930e-05	3	true
191           	GAMG	6.199020e-03	1.564200e-05	3	true
192           	GAMG	6.188870e-03	1.568300e-05	3	true
193           	GAMG	6.161460e-03	1.592910e-05	3	true
194           	GAMG	6.150000e-03	1.598740e-05	3	true
195           	GAMG	6.153090e-03	1.546050e-05	3	true
196           	GAMG	6.128230e-03	1.510840e-05	3	true
197           	GAMG	6.085050e-03	1.453830e-05	3	true
198           	GAMG	6.114970e-03	1.401720e-05	3	true
199           	GAMG	6.107620e-03	6.035920e-05	2	true
200           	GAMG	6.059480e-03	5.917190e-05	2	true
201           	GAMG	6.030200e-03	5.832720e-05	2	true
202           	GAMG	6.026010e-03	5.698190e-05	2	true
203           	GAMG	5.981980e-03	5.611490e-05	2	true
204           	GAMG	5.947290e-03	5.459760e-05	2	true
205           	GAMG	5.941250e-03	5.314580e-05	2	true
206           	GAMG	5.880710e-03	5.202760e-05	2	true
207           	GAMG	5.824530e-03	5.110380e-05	2	true
208           	GAMG	5.770760e-03	5.073340e-05	2	true
209           	GAMG	5.672670e-03	5.030490e-05	2	true
210           	GAMG	5.591240e-03	4.971320e-05	2	true
211           	GAMG	5.513920e-03	4.834920e-05	2	true
212           	GAMG	5.397210e-03	4.805410e-05	2	true
213           	GAMG	5.296250e-03	4.758850e-05	2	true
214           	GAMG	5.204110e-03	4.740860e-05	2	true
215           	GAMG	5.128860e-03	4.687700e-05	2	true
216           	GAMG	5.056100e-03	4.694860e-05	2	true
217           	GAMG	5.000000e-03	4.690170e-05	2	true
218           	GAMG	4.933380e-03	4.704730e-05	2	true
219           	GAMG	4.890560e-03	4.688200e-05	2	true
220           	GAMG	4.863100e-03	4.661060e-05	2	true
221           	GAMG	4.803270e-03	4.520270e-05	2	true
222           	GAMG	4.821770e-03	4.510700e-05	2	true
223           	GAMG	4.749420e-03	4.581380e-05	2	true
224           	GAMG	4.725970e-03	4.610810e-05	2	true
225           	GAMG	4.719350e-03	9.737330e-06	3	true
226           	GAMG	4.732550e-03	1.011160e-05	3	true
227           	GAMG	4.734370e-03	1.009600e-05	3	true
228           	GAMG	4.754080e-03	1.045060e-05	3	true
229           	GAMG	4.765130e-03	1.055380e-05	3	true
230           	GAMG	4.783810e-03	1.080660e-05	3	true
231           	GAMG	4.803630e-03	1.091500e-05	3	true
232           	GAMG	4.837740e-03	1.110600e-05	3	true
233           	GAMG	4.849270e-03	1.168450e-05	3	true
234           	GAMG	4.864840e-03	1.200540e-05	3	true
235           	GAMG	4.908150e-03	1.248900e-05	3	true
236           	GAMG	4.922270e-03	1.284270e-05	3	true
237           	GAMG	4.925770e-03	1.268150e-05	3	true
238           	GAMG	4.952220e-03	1.290860e-05	3	true
239           	GAMG	4.978310e-03	1.329860e-05	3	true
240           	GAMG	4.991820e-03	1.358060e-05	3	true
241           	GAMG	5.000000e-03	1.395080e-05	3	true
242           	GAMG	5.005590e-03	1.401440e-05	3	true
243           	GAMG	5.002320e-03	1.381130e-05	3	true
244           	GAMG	4.964320e-03	1.338040e-05	3	true
245           	GAMG	4.961340e-03	1.341870e-05	3	true
246           	GAMG	4.981060e-03	1.356300e-05	3	true
247           	GAMG	4.941030e-03	1.357610e-05	3	true
248           	GAMG	4.924840e-03	1.341000e-05	3	true
249           	GAMG	4.920790e-03	1.344380e-05	3	true
250           	GAMG	4.924900e-03	1.330540e-05	3	true
251           	GAMG	4.911570e-03	1.342880e-05	3	true
252           	GAMG	4.910290e-03	1.332380e-05	3	true
253           	GAMG	4.879690e-03	1.331360e-05	3	true
254           	GAMG	4.860040e-03	1.311580e-05	3	true
255           	GAMG	4.805320e-03	1.347350e-05	3	true
256           	GAMG	4.769520e-03	1.348610e-05	3	true
257           	GAMG	4.740580e-03	1.312250e-05	3	true
258           	GAMG	4.695420e-03	1.357410e-05	3	true
259           	GAMG	4.652630e-03	1.363200e-05	3	true
260           	GAMG	4.620870e-03	1.356460e-05	3	true
261           	GAMG	4.571130e-03	1.364820e-05	3	true
262           	GAMG	4.537450e-03	1.378410e-05	3	true
263           	GAMG	4.507040e-03	1.375130e-05	3	true
264           	GAMG	4.499200e-03	1.380710e-05	3	true
265           	GAMG	4.500930e-03	1.390640e-05	3	true
266           	GAMG	4.486560e-03	1.418870e-05	3	true
267           	GAMG	4.443910e-03	1.442980e-05	3	true
268           	GAMG	4.413080e-03	1.424770e-05	3	true
269           	GAMG	4.423720e-03	1.429090e-05	3	true
270           	GAMG	4.416700e-03	1.402300e-05	3	true
271           	GAMG	4.414970e-03	1.379050e-05	3	true
272           	GAMG	4.376470e-03	1.404130e-05	3	true
273           	GAMG	4.342240e-03	1.356720e-05	3	true
274           	GAMG	4.302190e-03	1.323060e-05	3	true
275           	GAMG	4.279250e-03	1.247860e-05	3	true
276           	GAMG	4.247180e-03	1.190120e-05	3	true
277           	GAMG	4.222140e-03	1.152500e-05	3	true
278           	GAMG	4.186850e-03	1.108680e-05	3	true
279           	GAMG	4.117080e-03	4.081970e-05	2	true
280           	GAMG	4.050150e-03	3.748560e-05	2	true
281           	GAMG	3.964310e-03	3.571670e-05	2	true
282           	GAMG	3.863700e-03	3.362140e-05	2	true
283           	GAMG	3.731950e-03	3.220170e-05	2	true
284           	GAMG	3.553010e-03	3.066500e-05	2	true
285           	GAMG	3.391260e-03	2.890160e-05	2	true
286           	GAMG	3.223870e-03	2.660150e-05	2	true
287           	GAMG	3.082870e-03	2.455450e-05	2	true
288           	GAMG	2.953580e-03	2.263370e-05	2	true
289           	GAMG	2.815740e-03	2.148760e-05	2	true
290           	GAMG	2.708840e-03	1.995020e-05	2	true
291           	GAMG	2.598080e-03	1.857690e-05	2	true
292           	GAMG	2.515680e-03	1.667900e-05	2	true
293           	GAMG	2.421700e-03	1.448930e-05	2	true
294           	GAMG	2.307370e-03	1.320030e-05	2	true
295           	GAMG	2.228450e-03	1.198150e-05	2	true
296           	GAMG	2.144890e-03	1.115150e-05	2	true
297           	GAMG	2.067990e-03	1.050590e-05	2	true
298           	GAMG	2.001750e-03	1.005600e-05	2	true
299           	GAMG	1.944030e-03	9.859500e-06	2	true
300           	GAMG	1.885750e-03	9.660630e-06	2	true
301           	GAMG	1.833370e-03	9.839210e-06	2	true
302           	GAMG	1.773790e-03	1.012630e-05	2	true
303           	GAMG	1.718740e-03	1.021630e-05	2	true
304           	GAMG	1.675420e-03	1.038430e-05	2	true
305           	GAMG	1.643010e-03	1.085990e-05	2	true
306           	GAMG	1.614170e-03	1.154300e-05	2	true
307           	GAMG	1.577810e-03	1.191060e-05	2	true
308           	GAMG	1.551240e-03	1.227460e-05	2	true
309           	GAMG	1.520910e-03	1.246420e-05	2	true
310           	GAMG	1.493930e-03	1.264460e-05	2	true
311           	GAMG	1.468080e-03	1.288960e-05	2	true
312           	GAMG	1.431440e-03	1.296640e-05	2	true
313           	GAMG	1.397570e-03	1.303550e-05	2	true
314           	GAMG	1.367390e-03	1.298650e-05	2	true
315           	GAMG	1.339990e-03	1.298570e-05	2	true
316           	GAMG	1.308370e-03	1.279640e-05	2	true
317           	GAMG	1.279710e-03	1.260140e-05	2	true
318           	GAMG	1.253180e-03	1.244600e-05	2	true
319           	GAMG	1.222320e-03	1.220750e-05	2	true
320           	GAMG	1.200160e-03	1.199090e-05	2	true
321           	GAMG	1.171690e-03	1.163370e-05	2	true
322           	GAMG	1.147150e-03	1.131900e-05	2	true
323           	GAMG	1.113590e-03	1.094850e-05	2	true
324           	GAMG	1.083010e-03	1.056060e-05	2	true
325           	GAMG	1.053510e-03	1.018280e-05	2	true
326           	GAMG	1.021490e-03	9.789770e-06	2	true
327           	GAMG	9.904170e-04	9.311470e-06	2	true
328           	GAMG	9.590070e-04	8.854910e-06	2	true
329           	GAMG	9.263700e-04	8.457100e-06	2	true
330           	GAMG	8.946540e-04	8.073290e-06	2	true
331           	GAMG	8.622950e-04	7.660890e-06	2	true
332           	GAMG	8.320920e-04	7.233460e-06	2	true
333           	GAMG	8.015770e-04	6.805240e-06	2	true
334           	GAMG	7.711540e-04	6.433900e-06	2	true
335           	GAMG	7.435460e-04	6.042830e-06	2	true
336           	GAMG	7.180010e-04	5.662320e-06	2	true
337           	GAMG	6.929120e-04	5.275250e-06	2	true
338           	GAMG	6.687390e-04	4.915160e-06	2	true
339           	GAMG	6.424280e-04	4.591960e-06	2	true
340           	GAMG	6.205330e-04	4.309390e-06	2	true
341           	GAMG	6.014430e-04	4.034960e-06	2	true
342           	GAMG	5.814020e-04	3.805510e-06	2	true
343           	GAMG	5.605650e-04	3.559460e-06	2	true
344           	GAMG	5.473980e-04	3.323310e-06	2	true
345           	GAMG	5.328930e-04	3.166070e-06	2	true
346           	GAMG	5.175480e-04	3.055390e-06	2	true
347           	GAMG	5.039020e-04	2.910900e-06	2	true
348           	GAMG	4.910390e-04	2.797080e-06	2	true
349           	GAMG	4.797080e-04	2.721430e-06	2	true
350           	GAMG	4.704680e-04	2.663450e-06	2	true
351           	GAMG	4.626000e-04	2.624480e-06	2	true
352           	GAMG	4.562800e-04	2.605840e-06	2	true
353           	GAMG	4.505130e-04	2.605340e-06	2	true
354           	GAMG	4.459630e-04	2.626590e-06	2	true
355           	GAMG	4.400380e-04	2.649710e-06	2	true
356           	GAMG	4.344110e-04	2.684720e-06	2	true
357           	GAMG	4.294570e-04	2.718990e-06	2	true
358           	GAMG	4.241080e-04	2.755640e-06	2	true
359           	GAMG	4.202830e-04	2.820210e-06	2	true
360           	GAMG	4.153530e-04	2.852510e-06	2	true
361           	GAMG	4.120020e-04	2.886300e-06	2	true
362           	GAMG	4.076620e-04	2.913270e-06	2	true
363           	GAMG	4.031190e-04	2.911170e-06	2	true
364           	GAMG	3.978630e-04	2.897700e-06	2	true
365           	GAMG	3.919280e-04	2.899610e-06	2	true
366           	GAMG	3.869020e-04	2.879320e-06	2	true
367           	GAMG	3.811450e-04	2.859780e-06	2	true
368           	GAMG	3.748490e-04	2.811200e-06	2	true
369           	GAMG	3.713350e-04	2.800930e-06	2	true
370           	GAMG	3.632530e-04	2.711340e-06	2	true
371           	GAMG	3.567840e-04	2.576740e-06	2	true
372           	GAMG	3.503310e-04	2.504080e-06	2	true
373           	GAMG	3.430010e-04	2.422210e-06	2	true
374           	GAMG	3.357550e-04	2.341940e-06	2	true
375           	GAMG	3.309250e-04	2.262100e-06	2	true
376           	GAMG	3.198590e-04	2.186650e-06	2	true
377           	GAMG	3.133190e-04	2.104510e-06	2	true
378           	GAMG	3.055430e-04	2.030690e-06	2	true
379           	GAMG	2.986370e-04	1.952080e-06	2	true
380           	GAMG	2.921380e-04	1.875580e-06	2	true
381           	GAMG	2.859040e-04	1.804960e-06	2	true
382           	GAMG	2.799650e-04	1.733520e-06	2	true
383           	GAMG	2.741440e-04	1.666210e-06	2	true
384           	GAMG	2.680290e-04	1.591930e-06	2	true
385           	GAMG	2.625340e-04	1.526420e-06	2	true
386           	GAMG	2.571290e-04	1.471370e-06	2	true
387           	GAMG	2.518210e-04	1.426870e-06	2	true
388           	GAMG	2.461650e-04	1.348860e-06	2	true
389           	GAMG	2.391050e-04	1.299610e-06	2	true
390           	GAMG	2.329610e-04	1.280880e-06	2	true
391           	GAMG	2.274980e-04	1.257830e-06	2	true
392           	GAMG	2.214040e-04	1.238600e-06	2	true
393           	GAMG	2.167020e-04	1.224460e-06	2	true
394           	GAMG	2.101790e-04	1.208820e-06	2	true
395           	GAMG	2.046100e-04	1.201330e-06	2	true
396           	GAMG	1.990060e-04	1.195790e-06	2	true
397           	GAMG	1.944660e-04	1.168160e-06	2	true
398           	GAMG	1.900610e-04	1.171640e-06	2	true
399           	GAMG	1.858370e-04	1.177870e-06	2	true
400           	GAMG	1.819920e-04	1.179390e-06	2	true
401           	GAMG	1.782610e-04	1.185830e-06	2	true
402           	GAMG	1.748630e-04	1.195100e-06	2	true
403           	GAMG	1.717580e-04	1.207370e-06	2	true
404           	GAMG	1.690110e-04	1.220690e-06	2	true
405           	GAMG	1.666120e-04	1.233490e-06	2	true
406           	GAMG	1.645100e-04	1.243630e-06	2	true
407           	GAMG	1.625470e-04	1.251320e-06	2	true
408           	GAMG	1.607320e-04	1.256760e-06	2	true
409           	GAMG	1.590290e-04	1.258760e-06	2	true
410           	GAMG	1.587360e-04	1.235040e-06	2	true
411           	GAMG	1.562150e-04	1.239820e-06	2	true
412           	GAMG	1.542100e-04	1.235980e-06	2	true
413           	GAMG	1.525280e-04	1.226030e-06	2	true
414           	GAMG	1.508280e-04	1.215540e-06	2	true
415           	GAMG	1.492490e-04	1.200750e-06	2	true
416           	GAMG	1.476990e-04	1.182860e-06	2	true
417           	GAMG	1.464910e-04	1.159770e-06	2	true
418           	GAMG	1.449430e-04	1.141810e-06	2	true
419           	GAMG	1.431570e-04	1.103270e-06	2	true
420           	GAMG	1.423280e-04	1.075310e-06	2	true
421           	GAMG	1.404840e-04	1.047670e-06	2	true
422           	GAMG	1.388710e-04	1.019410e-06	2	true
423           	GAMG	1.371440e-04	9.902920e-07	2	true
424           	GAMG	1.357240e-04	9.554370e-07	2	true
425           	GAMG	1.342480e-04	9.218890e-07	2	true
